"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Apr 2009","1","85.15","3952.686"
"USEP","01 Apr 2009","2","85.60","3832.352"
"USEP","01 Apr 2009","3","80.68","3695.786"
"USEP","01 Apr 2009","4","80.68","3614.015"
"USEP","01 Apr 2009","5","81.41","3589.568"
"USEP","01 Apr 2009","6","80.62","3586.014"
"USEP","01 Apr 2009","7","80.58","3564.519"
"USEP","01 Apr 2009","8","80.59","3547.417"
"USEP","01 Apr 2009","9","80.32","3541.135"
"USEP","01 Apr 2009","10","80.58","3559.454"
"USEP","01 Apr 2009","11","80.63","3615.332"
"USEP","01 Apr 2009","12","80.91","3723.569"
"USEP","01 Apr 2009","13","81.86","3859.642"
"USEP","01 Apr 2009","14","85.61","3969.107"
"USEP","01 Apr 2009","15","92.19","4129.096"
"USEP","01 Apr 2009","16","95.20","4388.097"
"USEP","01 Apr 2009","17","117.94","4662.089"
"USEP","01 Apr 2009","18","83.56","4871.614"
"USEP","01 Apr 2009","19","90.88","5003.851"
"USEP","01 Apr 2009","20","115.64","5114.771"
"USEP","01 Apr 2009","21","121.19","5210.101"
"USEP","01 Apr 2009","22","207.07","5257.450"
"USEP","01 Apr 2009","23","206.73","5264.940"
"USEP","01 Apr 2009","24","183.65","5219.872"
"USEP","01 Apr 2009","25","266.26","5190.554"
"USEP","01 Apr 2009","26","333.89","5211.870"
"USEP","01 Apr 2009","27","270.52","5257.057"
"USEP","01 Apr 2009","28","141.95","5292.424"
"USEP","01 Apr 2009","29","135.36","5315.832"
"USEP","01 Apr 2009","30","151.53","5323.924"
"USEP","01 Apr 2009","31","171.74","5320.161"
"USEP","01 Apr 2009","32","168.04","5311.876"
"USEP","01 Apr 2009","33","163.57","5300.937"
"USEP","01 Apr 2009","34","151.41","5236.312"
"USEP","01 Apr 2009","35","96.35","5130.566"
"USEP","01 Apr 2009","36","90.62","4986.530"
"USEP","01 Apr 2009","37","85.78","4879.476"
"USEP","01 Apr 2009","38","85.78","4879.481"
"USEP","01 Apr 2009","39","87.81","4907.736"
"USEP","01 Apr 2009","40","83.59","4875.759"
"USEP","01 Apr 2009","41","83.57","4810.796"
"USEP","01 Apr 2009","42","141.43","4748.477"
"USEP","01 Apr 2009","43","164.18","4662.784"
"USEP","01 Apr 2009","44","153.31","4564.552"
"USEP","01 Apr 2009","45","159.32","4454.735"
"USEP","01 Apr 2009","46","130.76","4351.861"
"USEP","01 Apr 2009","47","87.30","4208.243"
"USEP","01 Apr 2009","48","81.15","4083.899"
"USEP","02 Apr 2009","1","98.38","3954.599"
"USEP","02 Apr 2009","2","95.68","3842.759"
"USEP","02 Apr 2009","3","90.65","3723.121"
"USEP","02 Apr 2009","4","85.98","3639.834"
"USEP","02 Apr 2009","5","86.50","3619.726"
"USEP","02 Apr 2009","6","86.50","3620.595"
"USEP","02 Apr 2009","7","85.56","3591.610"
"USEP","02 Apr 2009","8","82.04","3570.130"
"USEP","02 Apr 2009","9","83.06","3575.741"
"USEP","02 Apr 2009","10","83.18","3576.412"
"USEP","02 Apr 2009","11","85.98","3634.278"
"USEP","02 Apr 2009","12","91.69","3749.244"
"USEP","02 Apr 2009","13","102.48","3888.528"
"USEP","02 Apr 2009","14","111.59","3998.847"
"USEP","02 Apr 2009","15","120.61","4146.650"
"USEP","02 Apr 2009","16","90.78","4417.917"
"USEP","02 Apr 2009","17","193.12","4696.685"
"USEP","02 Apr 2009","18","85.77","4893.750"
"USEP","02 Apr 2009","19","96.91","5076.557"
"USEP","02 Apr 2009","20","139.34","5172.488"
"USEP","02 Apr 2009","21","277.86","5226.174"
"USEP","02 Apr 2009","22","325.63","5273.066"
"USEP","02 Apr 2009","23","343.04","5285.257"
"USEP","02 Apr 2009","24","121.14","5216.214"
"USEP","02 Apr 2009","25","94.21","5149.909"
"USEP","02 Apr 2009","26","99.31","5179.128"
"USEP","02 Apr 2009","27","154.46","5284.989"
"USEP","02 Apr 2009","28","161.63","5366.989"
"USEP","02 Apr 2009","29","166.76","5385.199"
"USEP","02 Apr 2009","30","166.77","5384.423"
"USEP","02 Apr 2009","31","171.72","5375.686"
"USEP","02 Apr 2009","32","171.02","5361.492"
"USEP","02 Apr 2009","33","170.32","5342.079"
"USEP","02 Apr 2009","34","164.54","5289.626"
"USEP","02 Apr 2009","35","101.54","5187.890"
"USEP","02 Apr 2009","36","86.54","5013.125"
"USEP","02 Apr 2009","37","80.70","4878.000"
"USEP","02 Apr 2009","38","78.66","4882.289"
"USEP","02 Apr 2009","39","82.56","4925.136"
"USEP","02 Apr 2009","40","82.56","4903.337"
"USEP","02 Apr 2009","41","82.55","4871.460"
"USEP","02 Apr 2009","42","116.24","4803.286"
"USEP","02 Apr 2009","43","161.36","4706.411"
"USEP","02 Apr 2009","44","129.65","4597.578"
"USEP","02 Apr 2009","45","104.36","4540.135"
"USEP","02 Apr 2009","46","104.57","4435.312"
"USEP","02 Apr 2009","47","101.86","4315.038"
"USEP","02 Apr 2009","48","93.09","4206.459"
"USEP","03 Apr 2009","1","200.57","4082.477"
"USEP","03 Apr 2009","2","121.00","3972.263"
"USEP","03 Apr 2009","3","110.85","3850.821"
"USEP","03 Apr 2009","4","104.57","3778.845"
"USEP","03 Apr 2009","5","102.40","3744.169"
"USEP","03 Apr 2009","6","93.46","3706.875"
"USEP","03 Apr 2009","7","90.66","3677.835"
"USEP","03 Apr 2009","8","88.99","3655.440"
"USEP","03 Apr 2009","9","87.66","3645.823"
"USEP","03 Apr 2009","10","90.23","3661.165"
"USEP","03 Apr 2009","11","102.68","3717.292"
"USEP","03 Apr 2009","12","118.91","3827.700"
"USEP","03 Apr 2009","13","118.92","3932.980"
"USEP","03 Apr 2009","14","118.96","4039.283"
"USEP","03 Apr 2009","15","118.98","4183.562"
"USEP","03 Apr 2009","16","95.70","4458.070"
"USEP","03 Apr 2009","17","99.74","4748.741"
"USEP","03 Apr 2009","18","90.60","4989.751"
"USEP","03 Apr 2009","19","99.77","5107.112"
"USEP","03 Apr 2009","20","182.99","5219.633"
"USEP","03 Apr 2009","21","335.99","5306.310"
"USEP","03 Apr 2009","22","357.41","5374.613"
"USEP","03 Apr 2009","23","302.84","5346.482"
"USEP","03 Apr 2009","24","180.67","5288.507"
"USEP","03 Apr 2009","25","105.03","5240.790"
"USEP","03 Apr 2009","26","160.45","5282.876"
"USEP","03 Apr 2009","27","161.52","5359.598"
"USEP","03 Apr 2009","28","170.78","5391.506"
"USEP","03 Apr 2009","29","180.91","5419.089"
"USEP","03 Apr 2009","30","181.13","5434.526"
"USEP","03 Apr 2009","31","180.91","5431.678"
"USEP","03 Apr 2009","32","180.94","5434.963"
"USEP","03 Apr 2009","33","171.33","5411.773"
"USEP","03 Apr 2009","34","160.52","5347.929"
"USEP","03 Apr 2009","35","102.95","5222.829"
"USEP","03 Apr 2009","36","85.78","5067.641"
"USEP","03 Apr 2009","37","80.53","4953.838"
"USEP","03 Apr 2009","38","78.96","4915.121"
"USEP","03 Apr 2009","39","79.93","4912.969"
"USEP","03 Apr 2009","40","80.55","4867.007"
"USEP","03 Apr 2009","41","80.68","4853.752"
"USEP","03 Apr 2009","42","99.83","4797.392"
"USEP","03 Apr 2009","43","145.85","4726.550"
"USEP","03 Apr 2009","44","128.39","4619.332"
"USEP","03 Apr 2009","45","93.59","4513.694"
"USEP","03 Apr 2009","46","90.33","4421.675"
"USEP","03 Apr 2009","47","81.28","4315.282"
"USEP","03 Apr 2009","48","79.63","4209.143"
"USEP","04 Apr 2009","1","75.59","4096.786"
"USEP","04 Apr 2009","2","96.71","4019.855"
"USEP","04 Apr 2009","3","86.69","3916.380"
"USEP","04 Apr 2009","4","85.58","3855.984"
"USEP","04 Apr 2009","5","83.55","3800.440"
"USEP","04 Apr 2009","6","82.69","3772.603"
"USEP","04 Apr 2009","7","77.59","3710.915"
"USEP","04 Apr 2009","8","77.52","3698.182"
"USEP","04 Apr 2009","9","77.51","3679.510"
"USEP","04 Apr 2009","10","77.50","3664.649"
"USEP","04 Apr 2009","11","77.55","3689.862"
"USEP","04 Apr 2009","12","77.56","3707.381"
"USEP","04 Apr 2009","13","80.58","3763.528"
"USEP","04 Apr 2009","14","82.69","3792.040"
"USEP","04 Apr 2009","15","82.09","3853.196"
"USEP","04 Apr 2009","16","83.57","4002.565"
"USEP","04 Apr 2009","17","75.60","4234.788"
"USEP","04 Apr 2009","18","77.62","4408.798"
"USEP","04 Apr 2009","19","85.60","4539.220"
"USEP","04 Apr 2009","20","87.76","4631.369"
"USEP","04 Apr 2009","21","93.81","4722.911"
"USEP","04 Apr 2009","22","95.06","4755.649"
"USEP","04 Apr 2009","23","95.57","4769.620"
"USEP","04 Apr 2009","24","94.04","4731.117"
"USEP","04 Apr 2009","25","90.37","4682.247"
"USEP","04 Apr 2009","26","90.36","4637.701"
"USEP","04 Apr 2009","27","87.41","4622.070"
"USEP","04 Apr 2009","28","86.49","4607.781"
"USEP","04 Apr 2009","29","83.70","4593.885"
"USEP","04 Apr 2009","30","80.73","4535.766"
"USEP","04 Apr 2009","31","77.59","4477.145"
"USEP","04 Apr 2009","32","75.61","4420.547"
"USEP","04 Apr 2009","33","75.61","4391.343"
"USEP","04 Apr 2009","34","75.61","4371.349"
"USEP","04 Apr 2009","35","75.61","4340.887"
"USEP","04 Apr 2009","36","76.18","4297.365"
"USEP","04 Apr 2009","37","76.19","4305.213"
"USEP","04 Apr 2009","38","77.74","4373.839"
"USEP","04 Apr 2009","39","81.27","4407.744"
"USEP","04 Apr 2009","40","82.22","4419.816"
"USEP","04 Apr 2009","41","81.27","4413.668"
"USEP","04 Apr 2009","42","81.26","4401.223"
"USEP","04 Apr 2009","43","80.88","4389.762"
"USEP","04 Apr 2009","44","77.66","4356.359"
"USEP","04 Apr 2009","45","76.18","4275.870"
"USEP","04 Apr 2009","46","75.59","4204.098"
"USEP","04 Apr 2009","47","75.59","4130.383"
"USEP","04 Apr 2009","48","76.19","4069.804"
"USEP","05 Apr 2009","1","116.10","3990.319"
"USEP","05 Apr 2009","2","96.80","3942.592"
"USEP","05 Apr 2009","3","87.71","3868.335"
"USEP","05 Apr 2009","4","83.59","3766.937"
"USEP","05 Apr 2009","5","80.65","3698.157"
"USEP","05 Apr 2009","6","77.54","3642.304"
"USEP","05 Apr 2009","7","77.54","3623.791"
"USEP","05 Apr 2009","8","75.56","3599.602"
"USEP","05 Apr 2009","9","75.53","3580.900"
"USEP","05 Apr 2009","10","75.53","3588.241"
"USEP","05 Apr 2009","11","75.53","3577.401"
"USEP","05 Apr 2009","12","75.56","3589.364"
"USEP","05 Apr 2009","13","77.59","3618.100"
"USEP","05 Apr 2009","14","75.55","3582.634"
"USEP","05 Apr 2009","15","75.60","3590.080"
"USEP","05 Apr 2009","16","77.53","3655.584"
