"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Aug 2009","1","122.13","4321.281"
"USEP","01 Aug 2009","2","153.31","4250.369"
"USEP","01 Aug 2009","3","151.38","4175.665"
"USEP","01 Aug 2009","4","151.41","4093.009"
"USEP","01 Aug 2009","5","129.27","4031.977"
"USEP","01 Aug 2009","6","122.05","3988.167"
"USEP","01 Aug 2009","7","122.01","3951.627"
"USEP","01 Aug 2009","8","121.90","3932.632"
"USEP","01 Aug 2009","9","121.89","3907.707"
"USEP","01 Aug 2009","10","121.88","3901.375"
"USEP","01 Aug 2009","11","121.91","3911.991"
"USEP","01 Aug 2009","12","122.02","3953.809"
"USEP","01 Aug 2009","13","122.08","3997.595"
"USEP","01 Aug 2009","14","122.07","4015.497"
"USEP","01 Aug 2009","15","122.10","4076.503"
"USEP","01 Aug 2009","16","140.25","4260.662"
"USEP","01 Aug 2009","17","122.09","4469.034"
"USEP","01 Aug 2009","18","126.31","4612.329"
"USEP","01 Aug 2009","19","139.96","4747.801"
"USEP","01 Aug 2009","20","151.14","4866.132"
"USEP","01 Aug 2009","21","157.38","4960.423"
"USEP","01 Aug 2009","22","170.89","5004.104"
"USEP","01 Aug 2009","23","189.43","5004.169"
"USEP","01 Aug 2009","24","151.46","4949.012"
"USEP","01 Aug 2009","25","151.08","4905.862"
"USEP","01 Aug 2009","26","146.01","4864.228"
"USEP","01 Aug 2009","27","140.93","4827.033"
"USEP","01 Aug 2009","28","138.33","4793.704"
"USEP","01 Aug 2009","29","136.77","4769.615"
"USEP","01 Aug 2009","30","140.91","4739.332"
"USEP","01 Aug 2009","31","135.87","4702.982"
"USEP","01 Aug 2009","32","142.81","4675.195"
"USEP","01 Aug 2009","33","136.78","4638.551"
"USEP","01 Aug 2009","34","135.76","4580.948"
"USEP","01 Aug 2009","35","134.61","4541.218"
"USEP","01 Aug 2009","36","131.73","4501.344"
"USEP","01 Aug 2009","37","130.80","4495.325"
"USEP","01 Aug 2009","38","135.77","4580.640"
"USEP","01 Aug 2009","39","140.53","4655.295"
"USEP","01 Aug 2009","40","143.67","4675.294"
"USEP","01 Aug 2009","41","142.86","4654.181"
"USEP","01 Aug 2009","42","139.91","4637.244"
"USEP","01 Aug 2009","43","136.80","4620.241"
"USEP","01 Aug 2009","44","135.83","4567.997"
"USEP","01 Aug 2009","45","134.55","4486.111"
"USEP","01 Aug 2009","46","135.89","4409.757"
"USEP","01 Aug 2009","47","134.20","4336.231"
"USEP","01 Aug 2009","48","129.86","4277.550"
"USEP","02 Aug 2009","1","142.82","4221.036"
"USEP","02 Aug 2009","2","162.28","4157.365"
"USEP","02 Aug 2009","3","151.50","4088.605"
"USEP","02 Aug 2009","4","137.79","4004.553"
"USEP","02 Aug 2009","5","133.75","3946.568"
"USEP","02 Aug 2009","6","131.55","3899.641"
"USEP","02 Aug 2009","7","129.82","3863.171"
"USEP","02 Aug 2009","8","123.39","3822.511"
"USEP","02 Aug 2009","9","121.94","3796.315"
"USEP","02 Aug 2009","10","121.94","3793.149"
"USEP","02 Aug 2009","11","121.94","3782.066"
"USEP","02 Aug 2009","12","121.94","3797.507"
"USEP","02 Aug 2009","13","124.40","3838.162"
"USEP","02 Aug 2009","14","121.97","3795.539"
"USEP","02 Aug 2009","15","121.94","3769.959"
"USEP","02 Aug 2009","16","124.34","3850.831"
"USEP","02 Aug 2009","17","133.73","3974.390"
"USEP","02 Aug 2009","18","151.46","4086.965"
"USEP","02 Aug 2009","19","151.48","4175.029"
"USEP","02 Aug 2009","20","189.81","4254.454"
"USEP","02 Aug 2009","21","133.90","4359.977"
"USEP","02 Aug 2009","22","181.92","4422.559"
"USEP","02 Aug 2009","23","223.58","4406.472"
"USEP","02 Aug 2009","24","201.93","4380.488"
"USEP","02 Aug 2009","25","201.94","4374.127"
"USEP","02 Aug 2009","26","201.90","4381.199"
"USEP","02 Aug 2009","27","201.94","4405.274"
"USEP","02 Aug 2009","28","201.93","4407.401"
"USEP","02 Aug 2009","29","164.80","4418.981"
"USEP","02 Aug 2009","30","145.85","4423.360"
"USEP","02 Aug 2009","31","133.75","4409.816"
"USEP","02 Aug 2009","32","135.90","4399.976"
"USEP","02 Aug 2009","33","133.73","4376.373"
"USEP","02 Aug 2009","34","135.91","4403.485"
"USEP","02 Aug 2009","35","138.91","4389.231"
"USEP","02 Aug 2009","36","135.86","4382.521"
"USEP","02 Aug 2009","37","139.60","4403.390"
"USEP","02 Aug 2009","38","144.94","4496.816"
"USEP","02 Aug 2009","39","151.45","4580.292"
"USEP","02 Aug 2009","40","155.04","4639.783"
"USEP","02 Aug 2009","41","155.10","4653.669"
"USEP","02 Aug 2009","42","155.04","4647.020"
"USEP","02 Aug 2009","43","153.86","4639.694"
"USEP","02 Aug 2009","44","155.10","4624.063"
"USEP","02 Aug 2009","45","149.89","4535.533"
"USEP","02 Aug 2009","46","144.13","4462.588"
"USEP","02 Aug 2009","47","139.82","4385.344"
"USEP","02 Aug 2009","48","192.39","4258.505"
"USEP","03 Aug 2009","1","134.58","4131.412"
"USEP","03 Aug 2009","2","129.83","4043.746"
"USEP","03 Aug 2009","3","129.83","4004.533"
"USEP","03 Aug 2009","4","124.49","3950.747"
"USEP","03 Aug 2009","5","122.09","3893.647"
"USEP","03 Aug 2009","6","122.00","3855.095"
"USEP","03 Aug 2009","7","121.90","3834.768"
"USEP","03 Aug 2009","8","117.89","3809.053"
"USEP","03 Aug 2009","9","117.87","3798.690"
"USEP","03 Aug 2009","10","117.84","3812.383"
"USEP","03 Aug 2009","11","117.82","3873.986"
"USEP","03 Aug 2009","12","122.03","3992.997"
"USEP","03 Aug 2009","13","122.13","4143.499"
"USEP","03 Aug 2009","14","131.22","4271.993"
"USEP","03 Aug 2009","15","130.94","4455.764"
"USEP","03 Aug 2009","16","122.64","4752.220"
"USEP","03 Aug 2009","17","125.76","5057.979"
