"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Feb 2007","1","86.00","3862.117"
"USEP","01 Feb 2007","2","85.99","3775.629"
"USEP","01 Feb 2007","3","83.81","3573.003"
"USEP","01 Feb 2007","4","83.71","3525.186"
"USEP","01 Feb 2007","5","83.76","3510.574"
"USEP","01 Feb 2007","6","83.84","3528.039"
"USEP","01 Feb 2007","7","83.78","3505.858"
"USEP","01 Feb 2007","8","83.62","3475.441"
"USEP","01 Feb 2007","9","83.65","3472.032"
"USEP","01 Feb 2007","10","83.78","3496.251"
"USEP","01 Feb 2007","11","83.85","3562.521"
"USEP","01 Feb 2007","12","84.31","3697.764"
"USEP","01 Feb 2007","13","85.97","3835.727"
"USEP","01 Feb 2007","14","86.01","3926.563"
"USEP","01 Feb 2007","15","84.14","4068.815"
"USEP","01 Feb 2007","16","85.05","4354.833"
"USEP","01 Feb 2007","17","90.90","4644.763"
"USEP","01 Feb 2007","18","86.90","4825.726"
"USEP","01 Feb 2007","19","86.77","4854.105"
"USEP","01 Feb 2007","20","86.59","4944.524"
"USEP","01 Feb 2007","21","87.60","5008.478"
"USEP","01 Feb 2007","22","91.07","5068.426"
"USEP","01 Feb 2007","23","90.93","5090.349"
"USEP","01 Feb 2007","24","90.91","5068.063"
"USEP","01 Feb 2007","25","87.23","5032.871"
"USEP","01 Feb 2007","26","87.77","5055.012"
"USEP","01 Feb 2007","27","90.93","5111.143"
"USEP","01 Feb 2007","28","90.94","5146.788"
"USEP","01 Feb 2007","29","90.94","5149.581"
"USEP","01 Feb 2007","30","90.92","5125.124"
"USEP","01 Feb 2007","31","90.93","5111.963"
"USEP","01 Feb 2007","32","127.20","5117.992"
"USEP","01 Feb 2007","33","127.17","5106.834"
"USEP","01 Feb 2007","34","127.69","5087.034"
"USEP","01 Feb 2007","35","121.52","5019.417"
"USEP","01 Feb 2007","36","115.18","4893.770"
"USEP","01 Feb 2007","37","121.22","4799.822"
"USEP","01 Feb 2007","38","122.09","4807.332"
"USEP","01 Feb 2007","39","130.50","4830.040"
"USEP","01 Feb 2007","40","124.50","4802.193"
"USEP","01 Feb 2007","41","122.65","4748.010"
"USEP","01 Feb 2007","42","121.49","4667.958"
"USEP","01 Feb 2007","43","115.56","4573.146"
"USEP","01 Feb 2007","44","115.22","4432.996"
"USEP","01 Feb 2007","45","96.01","4284.657"
"USEP","01 Feb 2007","46","105.48","4152.256"
"USEP","01 Feb 2007","47","105.53","4076.160"
"USEP","01 Feb 2007","48","95.98","3935.668"
"USEP","02 Feb 2007","1","111.59","3814.873"
"USEP","02 Feb 2007","2","114.95","3734.398"
"USEP","02 Feb 2007","3","110.03","3656.275"
"USEP","02 Feb 2007","4","101.67","3613.707"
"USEP","02 Feb 2007","5","95.62","3569.777"
"USEP","02 Feb 2007","6","87.81","3533.541"
"USEP","02 Feb 2007","7","85.98","3503.259"
"USEP","02 Feb 2007","8","85.97","3500.177"
"USEP","02 Feb 2007","9","85.99","3507.642"
"USEP","02 Feb 2007","10","91.03","3538.560"
"USEP","02 Feb 2007","11","101.66","3610.223"
"USEP","02 Feb 2007","12","111.87","3750.799"
"USEP","02 Feb 2007","13","121.04","3889.035"
"USEP","02 Feb 2007","14","121.42","3988.847"
"USEP","02 Feb 2007","15","97.87","4146.158"
"USEP","02 Feb 2007","16","111.80","4383.913"
"USEP","02 Feb 2007","17","115.14","4635.966"
"USEP","02 Feb 2007","18","121.09","4819.995"
"USEP","02 Feb 2007","19","121.13","4941.790"
"USEP","02 Feb 2007","20","121.13","5018.781"
"USEP","02 Feb 2007","21","121.54","5086.532"
"USEP","02 Feb 2007","22","121.52","5095.070"
"USEP","02 Feb 2007","23","121.43","5118.280"
"USEP","02 Feb 2007","24","121.53","5093.142"
"USEP","02 Feb 2007","25","121.53","5074.951"
"USEP","02 Feb 2007","26","122.54","5106.392"
"USEP","02 Feb 2007","27","126.60","5157.210"
"USEP","02 Feb 2007","28","129.79","5201.170"
"USEP","02 Feb 2007","29","122.56","5216.095"
"USEP","02 Feb 2007","30","122.55","5198.605"
"USEP","02 Feb 2007","31","121.44","5184.540"
"USEP","02 Feb 2007","32","120.99","5184.833"
"USEP","02 Feb 2007","33","87.78","5160.341"
"USEP","02 Feb 2007","34","91.80","5114.200"
"USEP","02 Feb 2007","35","96.10","5030.018"
"USEP","02 Feb 2007","36","96.73","4891.772"
"USEP","02 Feb 2007","37","111.22","4808.719"
"USEP","02 Feb 2007","38","113.08","4824.985"
