"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Jan 2007","1","92.03","3643.219"
"USEP","01 Jan 2007","2","92.71","3580.969"
"USEP","01 Jan 2007","3","89.16","3446.287"
"USEP","01 Jan 2007","4","87.56","3394.068"
"USEP","01 Jan 2007","5","87.56","3393.630"
"USEP","01 Jan 2007","6","87.54","3355.888"
"USEP","01 Jan 2007","7","87.53","3325.631"
"USEP","01 Jan 2007","8","87.52","3291.059"
"USEP","01 Jan 2007","9","87.53","3316.019"
"USEP","01 Jan 2007","10","87.53","3311.551"
"USEP","01 Jan 2007","11","87.50","3261.438"
"USEP","01 Jan 2007","12","87.47","3266.687"
"USEP","01 Jan 2007","13","87.47","3297.202"
"USEP","01 Jan 2007","14","87.46","3311.933"
"USEP","01 Jan 2007","15","87.45","3325.601"
"USEP","01 Jan 2007","16","87.52","3448.420"
"USEP","01 Jan 2007","17","87.60","3524.157"
"USEP","01 Jan 2007","18","88.16","3609.522"
"USEP","01 Jan 2007","19","89.27","3669.073"
"USEP","01 Jan 2007","20","90.06","3732.848"
"USEP","01 Jan 2007","21","92.69","3809.957"
"USEP","01 Jan 2007","22","96.65","3859.051"
"USEP","01 Jan 2007","23","98.30","3870.159"
"USEP","01 Jan 2007","24","98.50","3883.638"
"USEP","01 Jan 2007","25","98.53","3894.959"
"USEP","01 Jan 2007","26","98.63","3902.916"
"USEP","01 Jan 2007","27","98.68","3908.671"
"USEP","01 Jan 2007","28","98.67","3909.849"
"USEP","01 Jan 2007","29","98.51","3890.988"
"USEP","01 Jan 2007","30","96.65","3857.207"
"USEP","01 Jan 2007","31","96.65","3858.072"
"USEP","01 Jan 2007","32","96.66","3862.585"
"USEP","01 Jan 2007","33","96.66","3862.962"
"USEP","01 Jan 2007","34","96.65","3863.728"
"USEP","01 Jan 2007","35","97.48","3868.887"
"USEP","01 Jan 2007","36","97.27","3885.372"
"USEP","01 Jan 2007","37","98.68","3930.733"
"USEP","01 Jan 2007","38","104.75","3999.637"
"USEP","01 Jan 2007","39","116.91","4038.001"
"USEP","01 Jan 2007","40","117.19","4044.695"
"USEP","01 Jan 2007","41","117.91","4047.772"
"USEP","01 Jan 2007","42","123.97","4047.235"
"USEP","01 Jan 2007","43","123.97","4017.102"
"USEP","01 Jan 2007","44","115.91","3945.007"
"USEP","01 Jan 2007","45","98.61","3870.199"
"USEP","01 Jan 2007","46","92.74","3815.529"
"USEP","01 Jan 2007","47","92.33","3788.720"
"USEP","01 Jan 2007","48","97.50","3738.578"
"USEP","02 Jan 2007","1","129.62","3659.858"
"USEP","02 Jan 2007","2","122.25","3600.546"
"USEP","02 Jan 2007","3","117.40","3530.932"
"USEP","02 Jan 2007","4","116.61","3471.620"
"USEP","02 Jan 2007","5","98.86","3428.266"
"USEP","02 Jan 2007","6","95.36","3365.401"
"USEP","02 Jan 2007","7","96.66","3378.561"
"USEP","02 Jan 2007","8","92.55","3352.151"
"USEP","02 Jan 2007","9","92.24","3325.656"
"USEP","02 Jan 2007","10","92.26","3321.342"
"USEP","02 Jan 2007","11","92.52","3331.689"
"USEP","02 Jan 2007","12","92.56","3351.370"
"USEP","02 Jan 2007","13","93.95","3358.855"
"USEP","02 Jan 2007","14","95.36","3364.586"
"USEP","02 Jan 2007","15","98.39","3380.266"
"USEP","02 Jan 2007","16","102.88","3497.449"
"USEP","02 Jan 2007","17","105.12","3602.266"
"USEP","02 Jan 2007","18","118.59","3674.515"
"USEP","02 Jan 2007","19","124.39","3773.060"
"USEP","02 Jan 2007","20","116.31","3843.788"
"USEP","02 Jan 2007","21","123.04","3922.026"
"USEP","02 Jan 2007","22","129.33","3963.162"
"USEP","02 Jan 2007","23","131.58","3979.971"
"USEP","02 Jan 2007","24","129.33","4002.227"
"USEP","02 Jan 2007","25","116.29","4022.534"
"USEP","02 Jan 2007","26","105.80","4046.161"
"USEP","02 Jan 2007","27","151.33","4066.986"
"USEP","02 Jan 2007","28","144.05","4033.274"
"USEP","02 Jan 2007","29","148.39","4047.990"
"USEP","02 Jan 2007","30","110.51","4043.145"
"USEP","02 Jan 2007","31","112.99","4039.860"
"USEP","02 Jan 2007","32","110.64","4019.314"
"USEP","02 Jan 2007","33","99.72","3994.797"
"USEP","02 Jan 2007","34","99.71","3985.567"
"USEP","02 Jan 2007","35","103.89","4041.882"
"USEP","02 Jan 2007","36","100.87","4047.290"
"USEP","02 Jan 2007","37","105.85","4070.365"
"USEP","02 Jan 2007","38","108.80","4109.604"
"USEP","02 Jan 2007","39","127.46","4172.812"
"USEP","02 Jan 2007","40","125.91","4221.135"
"USEP","02 Jan 2007","41","122.29","4209.133"
"USEP","02 Jan 2007","42","122.01","4208.879"
"USEP","02 Jan 2007","43","139.29","4224.376"
"USEP","02 Jan 2007","44","119.00","4137.883"
"USEP","02 Jan 2007","45","111.74","4041.336"
"USEP","02 Jan 2007","46","98.78","3964.862"
"USEP","02 Jan 2007","47","98.65","3893.717"
"USEP","02 Jan 2007","48","92.77","3744.110"
"USEP","03 Jan 2007","1","89.24","3694.022"
"USEP","03 Jan 2007","2","91.70","3638.120"
"USEP","03 Jan 2007","3","86.06","3532.880"
"USEP","03 Jan 2007","4","84.13","3476.699"
"USEP","03 Jan 2007","5","84.13","3457.082"
"USEP","03 Jan 2007","6","84.13","3427.014"
"USEP","03 Jan 2007","7","84.13","3402.502"
"USEP","03 Jan 2007","8","84.06","3370.808"
"USEP","03 Jan 2007","9","84.06","3360.197"
"USEP","03 Jan 2007","10","83.77","3374.367"
"USEP","03 Jan 2007","11","83.84","3466.341"
"USEP","03 Jan 2007","12","83.92","3535.330"
"USEP","03 Jan 2007","13","83.85","3659.674"
"USEP","03 Jan 2007","14","83.89","3859.881"
"USEP","03 Jan 2007","15","92.54","4056.469"
"USEP","03 Jan 2007","16","90.10","4308.901"
"USEP","03 Jan 2007","17","96.36","4551.437"
"USEP","03 Jan 2007","18","89.81","4752.165"
"USEP","03 Jan 2007","19","91.72","4943.266"
"USEP","03 Jan 2007","20","109.10","5085.587"
"USEP","03 Jan 2007","21","113.47","5096.760"
"USEP","03 Jan 2007","22","110.76","5122.728"
"USEP","03 Jan 2007","23","113.71","5151.127"
"USEP","03 Jan 2007","24","110.74","5096.879"
"USEP","03 Jan 2007","25","92.39","5022.950"
"USEP","03 Jan 2007","26","92.39","5019.014"
"USEP","03 Jan 2007","27","115.12","5113.837"
"USEP","03 Jan 2007","28","115.09","5123.175"
"USEP","03 Jan 2007","29","116.05","5130.526"
"USEP","03 Jan 2007","30","116.04","5147.802"
"USEP","03 Jan 2007","31","117.72","5167.155"
"USEP","03 Jan 2007","32","113.71","5090.185"
"USEP","03 Jan 2007","33","92.38","4971.098"
"USEP","03 Jan 2007","34","87.29","4883.746"
"USEP","03 Jan 2007","35","95.33","5062.566"
"USEP","03 Jan 2007","36","92.41","4948.748"
"USEP","03 Jan 2007","37","92.64","4880.624"
"USEP","03 Jan 2007","38","109.78","4876.455"
"USEP","03 Jan 2007","39","109.78","4874.129"
"USEP","03 Jan 2007","40","92.74","4815.900"
"USEP","03 Jan 2007","41","95.49","4731.112"
"USEP","03 Jan 2007","42","114.93","4654.405"
"USEP","03 Jan 2007","43","115.78","4557.038"
"USEP","03 Jan 2007","44","98.95","4420.308"
"USEP","03 Jan 2007","45","92.77","4280.984"
"USEP","03 Jan 2007","46","90.74","4148.698"
"USEP","03 Jan 2007","47","90.70","4019.040"
"USEP","03 Jan 2007","48","84.29","3792.627"
"USEP","04 Jan 2007","1","85.70","3660.455"
"USEP","04 Jan 2007","2","85.69","3590.706"
"USEP","04 Jan 2007","3","85.69","3606.774"
"USEP","04 Jan 2007","4","85.67","3546.890"
"USEP","04 Jan 2007","5","83.98","3496.221"
"USEP","04 Jan 2007","6","84.09","3469.542"
"USEP","04 Jan 2007","7","84.09","3444.926"
"USEP","04 Jan 2007","8","84.05","3418.848"
"USEP","04 Jan 2007","9","84.06","3422.839"
"USEP","04 Jan 2007","10","84.06","3429.886"
"USEP","04 Jan 2007","11","83.98","3484.720"
"USEP","04 Jan 2007","12","85.67","3579.056"
"USEP","04 Jan 2007","13","86.40","3695.011"
"USEP","04 Jan 2007","14","90.79","3871.893"
"USEP","04 Jan 2007","15","90.72","4074.684"
"USEP","04 Jan 2007","16","96.31","4338.174"
"USEP","04 Jan 2007","17","114.93","4584.104"
"USEP","04 Jan 2007","18","115.88","4774.679"
"USEP","04 Jan 2007","19","109.77","4899.252"
"USEP","04 Jan 2007","20","110.00","4945.577"
"USEP","04 Jan 2007","21","115.21","5012.200"
"USEP","04 Jan 2007","22","116.28","5047.527"
"USEP","04 Jan 2007","23","117.12","5115.750"
"USEP","04 Jan 2007","24","108.54","5047.984"
"USEP","04 Jan 2007","25","94.23","4989.786"
"USEP","04 Jan 2007","26","99.67","5028.467"
"USEP","04 Jan 2007","27","112.53","5077.556"
"USEP","04 Jan 2007","28","115.09","5113.235"
"USEP","04 Jan 2007","29","117.11","5126.162"
"USEP","04 Jan 2007","30","117.12","5119.587"
"USEP","04 Jan 2007","31","117.10","5121.466"
"USEP","04 Jan 2007","32","117.10","5127.146"
"USEP","04 Jan 2007","33","120.31","5126.744"
"USEP","04 Jan 2007","34","118.68","5080.970"
"USEP","04 Jan 2007","35","122.32","5030.202"
"USEP","04 Jan 2007","36","120.99","4944.638"
"USEP","04 Jan 2007","37","122.25","4871.072"
"USEP","04 Jan 2007","38","122.24","4858.896"
"USEP","04 Jan 2007","39","118.88","4836.436"
"USEP","04 Jan 2007","40","120.35","4768.203"
"USEP","04 Jan 2007","41","121.04","4681.924"
"USEP","04 Jan 2007","42","117.47","4600.356"
"USEP","04 Jan 2007","43","97.15","4502.726"
"USEP","04 Jan 2007","44","94.88","4375.379"
"USEP","04 Jan 2007","45","94.93","4247.536"
"USEP","04 Jan 2007","46","89.63","4127.023"
