"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Jul 2006","1","353.40","4110.016"
"USEP","01 Jul 2006","2","396.89","4031.758"
"USEP","01 Jul 2006","3","304.73","3980.016"
"USEP","01 Jul 2006","4","353.15","3944.177"
"USEP","01 Jul 2006","5","247.06","3880.139"
"USEP","01 Jul 2006","6","194.75","3840.046"
"USEP","01 Jul 2006","7","176.14","3784.347"
"USEP","01 Jul 2006","8","172.30","3752.638"
"USEP","01 Jul 2006","9","171.80","3737.346"
"USEP","01 Jul 2006","10","171.80","3738.290"
"USEP","01 Jul 2006","11","172.86","3757.474"
"USEP","01 Jul 2006","12","160.81","3756.753"
"USEP","01 Jul 2006","13","120.27","3745.695"
"USEP","01 Jul 2006","14","112.18","3757.037"
"USEP","01 Jul 2006","15","123.22","3892.564"
"USEP","01 Jul 2006","16","130.67","4067.095"
"USEP","01 Jul 2006","17","124.93","4290.899"
"USEP","01 Jul 2006","18","133.83","4458.627"
"USEP","01 Jul 2006","19","396.24","4569.955"
"USEP","01 Jul 2006","20","426.09","4640.076"
"USEP","01 Jul 2006","21","458.85","4701.053"
"USEP","01 Jul 2006","22","485.89","4738.423"
"USEP","01 Jul 2006","23","506.02","4743.030"
"USEP","01 Jul 2006","24","447.45","4678.857"
"USEP","01 Jul 2006","25","318.96","4607.523"
"USEP","01 Jul 2006","26","392.85","4554.930"
"USEP","01 Jul 2006","27","229.90","4531.184"
"USEP","01 Jul 2006","28","414.31","4559.712"
"USEP","01 Jul 2006","29","395.25","4541.909"
"USEP","01 Jul 2006","30","129.22","4441.460"
"USEP","01 Jul 2006","31","126.91","4388.376"
"USEP","01 Jul 2006","32","126.56","4364.644"
"USEP","01 Jul 2006","33","123.08","4321.445"
"USEP","01 Jul 2006","34","114.10","4275.472"
"USEP","01 Jul 2006","35","112.95","4229.241"
"USEP","01 Jul 2006","36","112.10","4191.892"
"USEP","01 Jul 2006","37","112.02","4181.211"
"USEP","01 Jul 2006","38","113.49","4258.127"
"USEP","01 Jul 2006","39","125.53","4331.444"
"USEP","01 Jul 2006","40","125.71","4352.343"
"USEP","01 Jul 2006","41","125.56","4346.722"
"USEP","01 Jul 2006","42","125.56","4338.457"
"USEP","01 Jul 2006","43","123.14","4313.105"
"USEP","01 Jul 2006","44","135.47","4275.731"
"USEP","01 Jul 2006","45","204.18","4226.796"
"USEP","01 Jul 2006","46","158.69","4196.628"
"USEP","01 Jul 2006","47","134.22","4152.425"
"USEP","01 Jul 2006","48","116.32","4083.099"
"USEP","02 Jul 2006","1","305.83","3984.002"
"USEP","02 Jul 2006","2","185.51","3919.402"
"USEP","02 Jul 2006","3","173.08","3882.147"
"USEP","02 Jul 2006","4","159.09","3819.067"
"USEP","02 Jul 2006","5","138.77","3770.580"
"USEP","02 Jul 2006","6","138.85","3779.446"
"USEP","02 Jul 2006","7","132.83","3754.870"
"USEP","02 Jul 2006","8","123.31","3709.290"
"USEP","02 Jul 2006","9","116.05","3675.260"
"USEP","02 Jul 2006","10","115.54","3663.452"
"USEP","02 Jul 2006","11","115.98","3672.015"
"USEP","02 Jul 2006","12","116.08","3684.137"
"USEP","02 Jul 2006","13","116.11","3685.608"
"USEP","02 Jul 2006","14","115.53","3653.298"
"USEP","02 Jul 2006","15","115.47","3640.436"
"USEP","02 Jul 2006","16","114.35","3711.263"
"USEP","02 Jul 2006","17","122.02","3812.154"
"USEP","02 Jul 2006","18","145.06","3873.603"
"USEP","02 Jul 2006","19","157.94","3906.301"
"USEP","02 Jul 2006","20","157.94","3965.429"
"USEP","02 Jul 2006","21","162.64","4043.667"
"USEP","02 Jul 2006","22","125.17","4149.334"
"USEP","02 Jul 2006","23","125.22","4162.966"
"USEP","02 Jul 2006","24","116.57","4124.141"
"USEP","02 Jul 2006","25","116.42","4103.212"
"USEP","02 Jul 2006","26","116.56","4110.607"
"USEP","02 Jul 2006","27","116.49","4118.440"
"USEP","02 Jul 2006","28","116.63","4123.112"
"USEP","02 Jul 2006","29","125.76","4117.456"
"USEP","02 Jul 2006","30","123.79","4105.985"
"USEP","02 Jul 2006","31","122.14","4084.356"
"USEP","02 Jul 2006","32","121.03","4075.897"
"USEP","02 Jul 2006","33","122.15","4090.479"
"USEP","02 Jul 2006","34","158.12","4076.250"
"USEP","02 Jul 2006","35","152.68","4053.353"
"USEP","02 Jul 2006","36","147.89","4029.174"
"USEP","02 Jul 2006","37","147.95","4040.709"
"USEP","02 Jul 2006","38","128.13","4134.573"
"USEP","02 Jul 2006","39","202.71","4233.829"
"USEP","02 Jul 2006","40","202.75","4244.708"
"USEP","02 Jul 2006","41","204.82","4250.329"
"USEP","02 Jul 2006","42","206.45","4272.580"
"USEP","02 Jul 2006","43","373.42","4286.039"
"USEP","02 Jul 2006","44","206.88","4257.148"
"USEP","02 Jul 2006","45","138.38","4195.411"
"USEP","02 Jul 2006","46","125.02","4134.513"
"USEP","02 Jul 2006","47","122.90","4093.193"
"USEP","02 Jul 2006","48","116.71","4027.415"
"USEP","03 Jul 2006","1","149.50","3956.070"
"USEP","03 Jul 2006","2","181.58","3908.055"
"USEP","03 Jul 2006","3","176.20","3877.122"
"USEP","03 Jul 2006","4","173.18","3814.053"
"USEP","03 Jul 2006","5","151.11","3761.569"
"USEP","03 Jul 2006","6","148.24","3734.125"
"USEP","03 Jul 2006","7","137.08","3708.877"
"USEP","03 Jul 2006","8","136.52","3694.763"
"USEP","03 Jul 2006","9","136.49","3696.209"
"USEP","03 Jul 2006","10","136.86","3709.195"
"USEP","03 Jul 2006","11","137.81","3733.230"
"USEP","03 Jul 2006","12","148.34","3790.460"
"USEP","03 Jul 2006","13","145.32","3849.176"
"USEP","03 Jul 2006","14","114.85","3855.234"
