"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Jun 2004","1","78.21","3750.914"
"USEP","01 Jun 2004","2","76.66","3673.759"
"USEP","01 Jun 2004","3","73.28","3556.179"
"USEP","01 Jun 2004","4","73.40","3491.808"
"USEP","01 Jun 2004","5","69.28","3446.909"
"USEP","01 Jun 2004","6","68.72","3415.319"
"USEP","01 Jun 2004","7","68.46","3414.221"
"USEP","01 Jun 2004","8","66.97","3379.506"
"USEP","01 Jun 2004","9","66.92","3381.603"
"USEP","01 Jun 2004","10","66.96","3387.641"
"USEP","01 Jun 2004","11","66.97","3404.326"
"USEP","01 Jun 2004","12","68.76","3477.295"
"USEP","01 Jun 2004","13","71.66","3559.703"
"USEP","01 Jun 2004","14","72.45","3629.705"
"USEP","01 Jun 2004","15","68.24","3760.327"
"USEP","01 Jun 2004","16","77.67","4048.453"
"USEP","01 Jun 2004","17","79.21","4341.534"
"USEP","01 Jun 2004","18","79.26","4506.562"
"USEP","01 Jun 2004","19","80.64","4632.741"
"USEP","01 Jun 2004","20","80.90","4710.720"
"USEP","01 Jun 2004","21","81.27","4777.323"
"USEP","01 Jun 2004","22","81.54","4817.004"
"USEP","01 Jun 2004","23","81.54","4830.090"
"USEP","01 Jun 2004","24","81.33","4792.824"
"USEP","01 Jun 2004","25","81.33","4766.165"
"USEP","01 Jun 2004","26","81.45","4790.618"
"USEP","01 Jun 2004","27","81.76","4851.595"
"USEP","01 Jun 2004","28","84.67","4896.355"
"USEP","01 Jun 2004","29","84.66","4903.949"
"USEP","01 Jun 2004","30","84.65","4904.023"
"USEP","01 Jun 2004","31","84.65","4895.554"
"USEP","01 Jun 2004","32","84.66","4901.300"
"USEP","01 Jun 2004","33","83.91","4883.234"
"USEP","01 Jun 2004","34","82.65","4847.211"
"USEP","01 Jun 2004","35","81.34","4741.966"
"USEP","01 Jun 2004","36","80.64","4633.874"
"USEP","01 Jun 2004","37","80.03","4501.503"
"USEP","01 Jun 2004","38","80.62","4501.180"
"USEP","01 Jun 2004","39","82.96","4511.493"
"USEP","01 Jun 2004","40","81.73","4451.395"
"USEP","01 Jun 2004","41","82.63","4382.526"
"USEP","01 Jun 2004","42","83.77","4315.421"
"USEP","01 Jun 2004","43","85.78","4229.177"
"USEP","01 Jun 2004","44","81.20","4086.687"
"USEP","01 Jun 2004","45","80.59","4010.646"
"USEP","01 Jun 2004","46","80.47","3920.898"
"USEP","01 Jun 2004","47","79.26","3815.042"
"USEP","01 Jun 2004","48","72.13","3634.810"
