"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Mar 2004","1","71.83","3499.621"
"USEP","01 Mar 2004","2","71.82","3405.126"
"USEP","01 Mar 2004","3","71.90","3355.058"
"USEP","01 Mar 2004","4","71.81","3320.860"
"USEP","01 Mar 2004","5","71.44","3253.243"
"USEP","01 Mar 2004","6","71.43","3231.494"
"USEP","01 Mar 2004","7","71.34","3205.471"
"USEP","01 Mar 2004","8","71.34","3194.830"
"USEP","01 Mar 2004","9","71.34","3189.970"
"USEP","01 Mar 2004","10","71.35","3206.977"
"USEP","01 Mar 2004","11","71.34","3252.860"
"USEP","01 Mar 2004","12","71.45","3349.949"
"USEP","01 Mar 2004","13","71.67","3464.363"
"USEP","01 Mar 2004","14","71.78","3564.951"
"USEP","01 Mar 2004","15","71.47","3739.170"
"USEP","01 Mar 2004","16","71.52","4009.075"
"USEP","01 Mar 2004","17","71.89","4289.756"
"USEP","01 Mar 2004","18","72.01","4505.394"
"USEP","01 Mar 2004","19","72.58","4647.596"
"USEP","01 Mar 2004","20","74.57","4715.461"
"USEP","01 Mar 2004","21","75.61","4767.194"
"USEP","01 Mar 2004","22","75.66","4811.691"
"USEP","01 Mar 2004","23","75.67","4831.928"
"USEP","01 Mar 2004","24","74.70","4786.736"
"USEP","01 Mar 2004","25","73.62","4742.543"
"USEP","01 Mar 2004","26","74.46","4778.506"
"USEP","01 Mar 2004","27","75.70","4850.392"
"USEP","01 Mar 2004","28","77.70","4885.127"
"USEP","01 Mar 2004","29","78.19","4893.815"
"USEP","01 Mar 2004","30","77.70","4886.698"
"USEP","01 Mar 2004","31","77.70","4886.757"
"USEP","01 Mar 2004","32","78.99","4904.635"
"USEP","01 Mar 2004","33","79.15","4895.773"
"USEP","01 Mar 2004","34","79.04","4857.981"
"USEP","01 Mar 2004","35","75.69","4765.544"
"USEP","01 Mar 2004","36","72.24","4590.864"
"USEP","01 Mar 2004","37","71.98","4443.548"
"USEP","01 Mar 2004","38","72.07","4453.304"
"USEP","01 Mar 2004","39","72.14","4487.696"
"USEP","01 Mar 2004","40","72.23","4484.088"
"USEP","01 Mar 2004","41","78.78","4435.447"
"USEP","01 Mar 2004","42","80.70","4380.076"
"USEP","01 Mar 2004","43","80.70","4299.184"
"USEP","01 Mar 2004","44","78.85","4194.725"
"USEP","01 Mar 2004","45","75.96","4077.716"
"USEP","01 Mar 2004","46","75.60","3967.307"
"USEP","01 Mar 2004","47","78.62","3839.564"
"USEP","01 Mar 2004","48","78.83","3709.186"
"USEP","02 Mar 2004","1","80.53","3608.956"
"USEP","02 Mar 2004","2","78.63","3542.000"
"USEP","02 Mar 2004","3","78.10","3477.449"
"USEP","02 Mar 2004","4","77.60","3421.149"
"USEP","02 Mar 2004","5","77.56","3381.916"
"USEP","02 Mar 2004","6","76.98","3333.399"
"USEP","02 Mar 2004","7","76.49","3312.013"
"USEP","02 Mar 2004","8","73.78","3290.438"
"USEP","02 Mar 2004","9","72.09","3284.787"
"USEP","02 Mar 2004","10","72.07","3294.141"
"USEP","02 Mar 2004","11","72.03","3347.901"
"USEP","02 Mar 2004","12","76.54","3438.837"
"USEP","02 Mar 2004","13","74.16","3536.622"
"USEP","02 Mar 2004","14","71.98","3609.731"
"USEP","02 Mar 2004","15","71.02","3739.229"
"USEP","02 Mar 2004","16","72.07","3982.779"
"USEP","02 Mar 2004","17","72.24","4257.431"
"USEP","02 Mar 2004","18","72.05","4472.901"
"USEP","02 Mar 2004","19","76.62","4589.537"
"USEP","02 Mar 2004","20","76.61","4653.158"
"USEP","02 Mar 2004","21","77.12","4712.519"
"USEP","02 Mar 2004","22","77.62","4744.581"
"USEP","02 Mar 2004","23","77.63","4762.880"
"USEP","02 Mar 2004","24","78.14","4739.596"
"USEP","02 Mar 2004","25","77.63","4716.490"
"USEP","02 Mar 2004","26","78.14","4753.388"
"USEP","02 Mar 2004","27","78.14","4810.050"
"USEP","02 Mar 2004","28","78.18","4857.464"
"USEP","02 Mar 2004","29","78.19","4865.262"
"USEP","02 Mar 2004","30","78.73","4855.834"
