"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 May 2003","1","75.94","3429.807"
"USEP","01 May 2003","2","75.33","3353.577"
"USEP","01 May 2003","3","71.50","3299.707"
"USEP","01 May 2003","4","72.89","3250.445"
"USEP","01 May 2003","5","75.27","3201.500"
"USEP","01 May 2003","6","71.51","3162.108"
"USEP","01 May 2003","7","69.80","3129.023"
"USEP","01 May 2003","8","65.58","3103.010"
"USEP","01 May 2003","9","62.55","3086.022"
"USEP","01 May 2003","10","62.55","3081.320"
"USEP","01 May 2003","11","62.54","3083.562"
"USEP","01 May 2003","12","62.54","3099.332"
"USEP","01 May 2003","13","62.53","3124.773"
"USEP","01 May 2003","14","62.53","3132.641"
"USEP","01 May 2003","15","62.47","3139.047"
"USEP","01 May 2003","16","62.54","3220.774"
"USEP","01 May 2003","17","75.28","3314.140"
"USEP","01 May 2003","18","75.48","3362.528"
"USEP","01 May 2003","19","75.52","3429.588"
"USEP","01 May 2003","20","77.76","3442.068"
"USEP","01 May 2003","21","77.62","3498.423"
"USEP","01 May 2003","22","75.49","3541.145"
"USEP","01 May 2003","23","75.50","3557.620"
"USEP","01 May 2003","24","75.78","3593.787"
"USEP","01 May 2003","25","75.95","3607.072"
"USEP","01 May 2003","26","75.94","3610.392"
"USEP","01 May 2003","27","75.50","3573.355"
"USEP","01 May 2003","28","75.50","3573.271"
"USEP","01 May 2003","29","75.50","3571.318"
"USEP","01 May 2003","30","75.50","3561.447"
"USEP","01 May 2003","31","75.50","3546.209"
"USEP","01 May 2003","32","75.49","3542.124"
"USEP","01 May 2003","33","75.50","3540.290"
"USEP","01 May 2003","34","75.49","3533.933"
"USEP","01 May 2003","35","75.30","3520.972"
"USEP","01 May 2003","36","75.51","3552.258"
"USEP","01 May 2003","37","77.60","3614.850"
"USEP","01 May 2003","38","85.36","3695.965"
"USEP","01 May 2003","39","77.82","3677.045"
"USEP","01 May 2003","40","77.83","3695.846"
"USEP","01 May 2003","41","77.91","3704.449"
"USEP","01 May 2003","42","77.83","3694.981"
"USEP","01 May 2003","43","77.93","3718.817"
"USEP","01 May 2003","44","77.91","3639.089"
"USEP","01 May 2003","45","77.96","3541.806"
"USEP","01 May 2003","46","77.70","3459.990"
"USEP","01 May 2003","47","75.52","3388.511"
"USEP","01 May 2003","48","75.52","3391.081"
"USEP","02 May 2003","1","77.76","3396.493"
"USEP","02 May 2003","2","75.30","3308.464"
"USEP","02 May 2003","3","70.90","3229.024"
"USEP","02 May 2003","4","68.78","3175.348"
"USEP","02 May 2003","5","62.56","3139.832"
"USEP","02 May 2003","6","62.56","3108.019"
"USEP","02 May 2003","7","62.54","3074.382"
"USEP","02 May 2003","8","62.49","3049.264"
"USEP","02 May 2003","9","62.49","3046.193"
"USEP","02 May 2003","10","62.52","3067.081"
"USEP","02 May 2003","11","65.62","3119.818"
"USEP","02 May 2003","12","69.87","3218.000"
"USEP","02 May 2003","13","73.54","3321.655"
"USEP","02 May 2003","14","75.29","3409.296"
"USEP","02 May 2003","15","75.50","3591.754"
"USEP","02 May 2003","16","78.15","3897.002"
"USEP","02 May 2003","17","89.17","4187.970"
"USEP","02 May 2003","18","89.14","4346.548"
"USEP","02 May 2003","19","88.89","4471.231"
"USEP","02 May 2003","20","89.74","4552.346"
"USEP","02 May 2003","21","93.40","4619.227"
"USEP","02 May 2003","22","95.30","4669.643"
"USEP","02 May 2003","23","96.02","4688.236"
"USEP","02 May 2003","24","94.08","4656.328"
"USEP","02 May 2003","25","93.28","4621.091"
"USEP","02 May 2003","26","93.29","4622.990"
"USEP","02 May 2003","27","94.03","4653.336"
"USEP","02 May 2003","28","94.07","4665.051"
"USEP","02 May 2003","29","96.02","4679.752"
"USEP","02 May 2003","30","96.08","4694.876"
"USEP","02 May 2003","31","96.07","4704.602"
"USEP","02 May 2003","32","96.07","4698.971"
"USEP","02 May 2003","33","96.02","4678.907"
"USEP","02 May 2003","34","94.05","4638.412"
"USEP","02 May 2003","35","90.98","4542.416"
"USEP","02 May 2003","36","86.52","4399.126"
"USEP","02 May 2003","37","88.72","4311.530"
"USEP","02 May 2003","38","89.17","4328.915"
"USEP","02 May 2003","39","89.20","4336.897"
"USEP","02 May 2003","40","87.58","4300.059"
"USEP","02 May 2003","41","93.93","4267.968"
"USEP","02 May 2003","42","100.06","4226.642"
"USEP","02 May 2003","43","99.97","4159.815"
"USEP","02 May 2003","44","95.92","4076.990"
"USEP","02 May 2003","45","89.25","3937.637"
"USEP","02 May 2003","46","82.64","3833.445"
"USEP","02 May 2003","47","85.47","3726.774"
"USEP","02 May 2003","48","89.74","3605.586"
"USEP","03 May 2003","1","85.61","3491.713"
"USEP","03 May 2003","2","81.01","3422.968"
"USEP","03 May 2003","3","80.96","3374.804"
"USEP","03 May 2003","4","76.96","3323.205"
"USEP","03 May 2003","5","76.69","3279.459"
"USEP","03 May 2003","6","75.97","3241.021"
"USEP","03 May 2003","7","75.53","3207.951"
"USEP","03 May 2003","8","75.53","3183.429"
"USEP","03 May 2003","9","75.32","3156.034"
"USEP","03 May 2003","10","75.32","3154.037"
"USEP","03 May 2003","11","75.32","3174.682"
"USEP","03 May 2003","12","75.53","3221.440"
"USEP","03 May 2003","13","76.62","3286.487"
"USEP","03 May 2003","14","76.96","3317.376"
"USEP","03 May 2003","15","77.17","3384.133"
"USEP","03 May 2003","16","84.63","3568.843"
"USEP","03 May 2003","17","91.25","3771.494"
"USEP","03 May 2003","18","93.75","3950.961"
"USEP","03 May 2003","19","95.78","4110.583"
"USEP","03 May 2003","20","105.97","4216.921"
"USEP","03 May 2003","21","108.04","4254.404"
"USEP","03 May 2003","22","109.95","4294.259"
"USEP","03 May 2003","23","109.99","4295.820"
"USEP","03 May 2003","24","107.91","4248.540"
"USEP","03 May 2003","25","99.89","4190.754"
"USEP","03 May 2003","26","90.85","4069.689"
"USEP","03 May 2003","27","88.75","3993.529"
"USEP","03 May 2003","28","86.80","3943.730"
"USEP","03 May 2003","29","81.68","3902.598"
"USEP","03 May 2003","30","80.95","3868.111"
"USEP","03 May 2003","31","89.64","3846.536"
"USEP","03 May 2003","32","85.65","3809.893"
"USEP","03 May 2003","33","82.00","3770.158"
"USEP","03 May 2003","34","81.46","3728.081"
"USEP","03 May 2003","35","80.98","3688.490"
"USEP","03 May 2003","36","77.32","3656.633"
"USEP","03 May 2003","37","80.45","3672.929"
"USEP","03 May 2003","38","81.46","3723.435"
"USEP","03 May 2003","39","85.66","3780.013"
"USEP","03 May 2003","40","84.65","3759.631"
"USEP","03 May 2003","41","82.01","3735.536"
"USEP","03 May 2003","42","82.01","3723.688"
"USEP","03 May 2003","43","82.01","3707.362"
"USEP","03 May 2003","44","81.00","3657.527"
"USEP","03 May 2003","45","77.21","3584.334"
"USEP","03 May 2003","46","76.79","3524.023"
"USEP","03 May 2003","47","77.09","3466.530"
"USEP","03 May 2003","48","88.11","3397.760"
"USEP","04 May 2003","1","82.61","3317.296"
"USEP","04 May 2003","2","81.13","3249.689"
"USEP","04 May 2003","3","81.13","3196.366"
"USEP","04 May 2003","4","81.16","3145.707"
"USEP","04 May 2003","5","78.75","3101.384"
"USEP","04 May 2003","6","76.54","3063.747"
"USEP","04 May 2003","7","75.94","3021.447"
"USEP","04 May 2003","8","75.87","2991.458"
"USEP","04 May 2003","9","75.85","2977.020"
"USEP","04 May 2003","10","75.85","2976.180"
"USEP","04 May 2003","11","75.88","2990.832"
"USEP","04 May 2003","12","75.97","3021.636"
"USEP","04 May 2003","13","76.16","3037.316"
"USEP","04 May 2003","14","75.87","2993.804"
"USEP","04 May 2003","15","75.67","2969.018"
"USEP","04 May 2003","16","75.85","3039.687"
"USEP","04 May 2003","17","75.91","3134.365"
"USEP","04 May 2003","18","76.18","3254.828"
"USEP","04 May 2003","19","77.43","3368.666"
"USEP","04 May 2003","20","81.02","3438.698"
"USEP","04 May 2003","21","77.91","3464.105"
"USEP","04 May 2003","22","77.92","3475.258"
"USEP","04 May 2003","23","77.91","3496.912"
"USEP","04 May 2003","24","77.91","3487.255"
"USEP","04 May 2003","25","77.91","3474.363"
"USEP","04 May 2003","26","77.97","3483.433"
"USEP","04 May 2003","27","80.96","3496.733"
"USEP","04 May 2003","28","80.96","3504.849"
"USEP","04 May 2003","29","80.97","3513.134"
"USEP","04 May 2003","30","81.60","3519.381"
"USEP","04 May 2003","31","81.98","3521.285"
"USEP","04 May 2003","32","81.03","3541.483"
"USEP","04 May 2003","33","77.55","3552.357"
"USEP","04 May 2003","34","82.25","3539.067"
"USEP","04 May 2003","35","81.99","3524.729"
"USEP","04 May 2003","36","77.96","3474.984"
"USEP","04 May 2003","37","81.99","3527.030"
"USEP","04 May 2003","38","91.71","3643.726"
"USEP","04 May 2003","39","95.61","3736.585"
"USEP","04 May 2003","40","94.39","3758.895"
"USEP","04 May 2003","41","93.87","3768.537"
"USEP","04 May 2003","42","93.75","3766.067"
"USEP","04 May 2003","43","90.85","3762.181"
"USEP","04 May 2003","44","89.19","3733.255"
"USEP","04 May 2003","45","82.07","3679.430"
"USEP","04 May 2003","46","77.99","3609.020"
"USEP","04 May 2003","47","78.00","3531.945"
"USEP","04 May 2003","48","78.00","3479.298"
"USEP","05 May 2003","1","81.13","3415.364"
"USEP","05 May 2003","2","76.93","3340.486"
"USEP","05 May 2003","3","75.52","3272.601"
"USEP","05 May 2003","4","75.28","3219.526"
"USEP","05 May 2003","5","70.86","3184.756"
"USEP","05 May 2003","6","69.83","3153.251"
"USEP","05 May 2003","7","68.76","3116.776"
"USEP","05 May 2003","8","62.51","3090.450"
"USEP","05 May 2003","9","72.91","3087.950"
"USEP","05 May 2003","10","73.48","3110.768"
"USEP","05 May 2003","11","75.56","3165.562"
"USEP","05 May 2003","12","76.17","3267.571"
"USEP","05 May 2003","13","76.81","3374.108"
"USEP","05 May 2003","14","76.81","3452.082"
"USEP","05 May 2003","15","76.85","3605.819"
"USEP","05 May 2003","16","81.43","3892.817"
"USEP","05 May 2003","17","95.27","4188.512"
"USEP","05 May 2003","18","95.86","4388.192"
"USEP","05 May 2003","19","95.94","4510.404"
"USEP","05 May 2003","20","99.91","4595.426"
"USEP","05 May 2003","21","104.15","4663.614"
"USEP","05 May 2003","22","112.12","4713.434"
"USEP","05 May 2003","23","112.25","4726.207"
"USEP","05 May 2003","24","110.13","4690.969"
"USEP","05 May 2003","25","108.04","4654.261"
"USEP","05 May 2003","26","100.08","4619.834"
"USEP","05 May 2003","27","108.04","4651.537"
"USEP","05 May 2003","28","108.15","4662.556"
"USEP","05 May 2003","29","109.21","4678.644"
"USEP","05 May 2003","30","114.28","4695.830"
"USEP","05 May 2003","31","116.20","4707.117"
"USEP","05 May 2003","32","110.22","4696.541"
"USEP","05 May 2003","33","109.08","4671.189"
"USEP","05 May 2003","34","108.07","4654.410"
"USEP","05 May 2003","35","100.11","4582.777"
"USEP","05 May 2003","36","95.82","4436.287"
"USEP","05 May 2003","37","97.70","4348.536"
"USEP","05 May 2003","38","100.04","4368.431"
"USEP","05 May 2003","39","105.84","4379.147"
"USEP","05 May 2003","40","107.77","4343.681"
"USEP","05 May 2003","41","97.55","4311.878"
"USEP","05 May 2003","42","96.15","4228.193"
"USEP","05 May 2003","43","95.99","4164.920"
