"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Oct 2004","1","83.33","3677.094"
"USEP","01 Oct 2004","2","82.84","3583.425"
"USEP","01 Oct 2004","3","81.78","3495.620"
"USEP","01 Oct 2004","4","81.78","3442.297"
"USEP","01 Oct 2004","5","80.77","3403.441"
"USEP","01 Oct 2004","6","80.37","3368.711"
"USEP","01 Oct 2004","7","78.61","3344.979"
"USEP","01 Oct 2004","8","78.52","3330.069"
"USEP","01 Oct 2004","9","78.47","3311.610"
"USEP","01 Oct 2004","10","78.49","3331.968"
"USEP","01 Oct 2004","11","80.76","3394.629"
"USEP","01 Oct 2004","12","82.83","3497.056"
"USEP","01 Oct 2004","13","83.86","3596.307"
"USEP","01 Oct 2004","14","86.91","3668.610"
"USEP","01 Oct 2004","15","82.05","3809.386"
"USEP","01 Oct 2004","16","86.05","4093.217"
"USEP","01 Oct 2004","17","88.94","4372.626"
"USEP","01 Oct 2004","18","84.99","4562.505"
"USEP","01 Oct 2004","19","86.92","4662.938"
"USEP","01 Oct 2004","20","88.07","4720.337"
"USEP","01 Oct 2004","21","90.53","4772.939"
"USEP","01 Oct 2004","22","88.07","4794.778"
"USEP","01 Oct 2004","23","88.08","4775.295"
"USEP","01 Oct 2004","24","85.06","4736.465"
"USEP","01 Oct 2004","25","86.00","4703.071"
"USEP","01 Oct 2004","26","86.01","4723.075"
"USEP","01 Oct 2004","27","88.03","4788.858"
"USEP","01 Oct 2004","28","87.03","4827.957"
"USEP","01 Oct 2004","29","86.01","4829.235"
"USEP","01 Oct 2004","30","86.01","4810.319"
"USEP","01 Oct 2004","31","86.01","4786.696"
"USEP","01 Oct 2004","32","85.93","4786.145"
"USEP","01 Oct 2004","33","84.58","4767.328"
"USEP","01 Oct 2004","34","83.91","4741.460"
"USEP","01 Oct 2004","35","83.62","4658.833"
"USEP","01 Oct 2004","36","80.40","4568.812"
"USEP","01 Oct 2004","37","86.04","4500.499"
"USEP","01 Oct 2004","38","88.08","4527.725"
"USEP","01 Oct 2004","39","86.08","4480.629"
"USEP","01 Oct 2004","40","86.01","4442.111"
"USEP","01 Oct 2004","41","85.04","4412.639"
"USEP","01 Oct 2004","42","84.01","4331.812"
"USEP","01 Oct 2004","43","82.96","4253.609"
"USEP","01 Oct 2004","44","83.00","4173.920"
"USEP","01 Oct 2004","45","82.99","4072.338"
"USEP","01 Oct 2004","46","81.93","3981.646"
"USEP","01 Oct 2004","47","82.83","3895.923"
"USEP","01 Oct 2004","48","84.85","3825.240"
"USEP","02 Oct 2004","1","85.36","3726.625"
"USEP","02 Oct 2004","2","83.82","3658.407"
"USEP","02 Oct 2004","3","82.09","3559.131"
"USEP","02 Oct 2004","4","82.58","3508.373"
"USEP","02 Oct 2004","5","82.12","3473.329"
"USEP","02 Oct 2004","6","80.88","3429.469"
"USEP","02 Oct 2004","7","80.73","3397.010"
"USEP","02 Oct 2004","8","74.85","3356.917"
"USEP","02 Oct 2004","9","72.22","3343.771"
"USEP","02 Oct 2004","10","74.85","3356.837"
"USEP","02 Oct 2004","11","79.94","3380.231"
"USEP","02 Oct 2004","12","80.77","3423.495"
"USEP","02 Oct 2004","13","81.82","3476.962"
"USEP","02 Oct 2004","14","81.78","3518.999"
"USEP","02 Oct 2004","15","81.79","3587.614"
"USEP","02 Oct 2004","16","83.15","3770.202"
"USEP","02 Oct 2004","17","81.08","3974.743"
"USEP","02 Oct 2004","18","82.59","4142.132"
"USEP","02 Oct 2004","19","86.43","4209.207"
"USEP","02 Oct 2004","20","88.03","4331.121"
"USEP","02 Oct 2004","21","93.86","4407.794"
"USEP","02 Oct 2004","22","88.24","4458.736"
"USEP","02 Oct 2004","23","88.19","4449.755"
"USEP","02 Oct 2004","24","91.95","4420.099"
"USEP","02 Oct 2004","25","89.67","4375.583"
"USEP","02 Oct 2004","26","89.61","4329.775"
"USEP","02 Oct 2004","27","85.67","4271.054"
"USEP","02 Oct 2004","28","84.96","4234.753"
"USEP","02 Oct 2004","29","83.95","4192.115"
"USEP","02 Oct 2004","30","83.95","4157.599"
"USEP","02 Oct 2004","31","83.95","4167.539"
"USEP","02 Oct 2004","32","83.90","4139.563"
"USEP","02 Oct 2004","33","83.39","4114.946"
"USEP","02 Oct 2004","34","82.34","4055.103"
"USEP","02 Oct 2004","35","82.30","4022.405"
"USEP","02 Oct 2004","36","81.75","4006.963"
"USEP","02 Oct 2004","37","82.38","4009.756"
