"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Sep 2006","1","105.21","3939.267"
"USEP","01 Sep 2006","2","115.26","3836.805"
"USEP","01 Sep 2006","3","106.74","3638.979"
"USEP","01 Sep 2006","4","106.68","3616.679"
"USEP","01 Sep 2006","5","102.06","3579.230"
"USEP","01 Sep 2006","6","101.96","3540.832"
"USEP","01 Sep 2006","7","101.46","3520.331"
"USEP","01 Sep 2006","8","100.92","3496.127"
"USEP","01 Sep 2006","9","100.92","3483.657"
"USEP","01 Sep 2006","10","100.95","3490.799"
"USEP","01 Sep 2006","11","101.46","3534.242"
"USEP","01 Sep 2006","12","106.72","3627.951"
"USEP","01 Sep 2006","13","111.03","3719.121"
"USEP","01 Sep 2006","14","106.01","3778.000"
"USEP","01 Sep 2006","15","101.57","3907.866"
"USEP","01 Sep 2006","16","102.20","4226.657"
"USEP","01 Sep 2006","17","115.06","4631.543"
"USEP","01 Sep 2006","18","111.46","4801.686"
"USEP","01 Sep 2006","19","111.38","4832.500"
"USEP","01 Sep 2006","20","111.45","4885.088"
"USEP","01 Sep 2006","21","116.05","4971.188"
"USEP","01 Sep 2006","22","119.19","5035.937"
"USEP","01 Sep 2006","23","119.16","5051.627"
"USEP","01 Sep 2006","24","119.16","5041.116"
"USEP","01 Sep 2006","25","119.08","5035.385"
"USEP","01 Sep 2006","26","119.18","5059.942"
"USEP","01 Sep 2006","27","120.09","5085.334"
"USEP","01 Sep 2006","28","119.16","5060.032"
"USEP","01 Sep 2006","29","119.19","5067.745"
"USEP","01 Sep 2006","30","119.17","5062.298"
"USEP","01 Sep 2006","31","122.58","5051.493"
"USEP","01 Sep 2006","32","138.25","5056.294"
"USEP","01 Sep 2006","33","138.25","5057.735"
"USEP","01 Sep 2006","34","129.16","5024.297"
"USEP","01 Sep 2006","35","119.09","4928.257"
"USEP","01 Sep 2006","36","115.97","4807.943"
"USEP","01 Sep 2006","37","111.38","4728.269"
"USEP","01 Sep 2006","38","111.42","4731.460"
"USEP","01 Sep 2006","39","111.34","4713.205"
"USEP","01 Sep 2006","40","111.31","4670.513"
"USEP","01 Sep 2006","41","111.13","4613.875"
"USEP","01 Sep 2006","42","120.16","4609.486"
"USEP","01 Sep 2006","43","122.69","4524.231"
"USEP","01 Sep 2006","44","127.22","4415.035"
"USEP","01 Sep 2006","45","128.24","4311.187"
"USEP","01 Sep 2006","46","118.34","4223.446"
"USEP","01 Sep 2006","47","118.32","4147.152"
